,name,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,yellow_cards,GW,played,Points_per_Minute,Points_per_Value,Rolling_Avg_Goals,Goal_Involvement,was_home,position_DEF,position_FWD,position_GK,position_MID,form,total_points_lag1,goals_scored_lag1,assists_lag1,minutes_lag1,bps_lag1,value_lag1,transfers_in_lag1,transfers_out_lag1
223,Aaron Cresswell,West Ham,1.3,0,0,16,0,18.7,457,0.0,0.0,0.0,0.0,10,2,0,4.1,22.0,2022-08-07T15:30:00Z,90,13,0,0,0,0,1,0,266706,0,2,0,0.0,1,0,0,0,50,0,1,0,0.011111111111111112,0.02,0.0,0,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,Aaron Cresswell,West Ham,2.0,0,0,14,0,65.8,457,0.0,0.0,0.0,0.0,18,1,0,8.1,14.6,2022-08-14T13:00:00Z,90,16,0,0,0,0,2,0,320890,0,0,1,1.0,2,21509,45044,23535,50,0,2,1,0.022222222222222223,0.04,0.0,0,0,1,0,0,0,1.5,1.0,0.0,0.0,90.0,16.0,50.0,0.0,0.0
819,Aaron Cresswell,West Ham,1.0,0,0,6,0,38.8,457,0.0,0.0,0.0,0.0,30,2,0,6.7,10.2,2022-08-21T13:00:00Z,90,5,0,0,0,0,3,0,307342,0,2,0,18.0,0,-19414,20572,39986,50,1,3,1,0.0,0.0,0.0,0,1,1,0,0,0,1.0,2.0,0.0,0.0,90.0,14.0,50.0,45044.0,23535.0
1112,Aaron Cresswell,West Ham,2.2,0,0,26,1,5.8,457,0.0,0.0,0.0,0.0,32,0,0,2.8,13.8,2022-08-28T13:00:00Z,90,2,0,0,0,0,4,0,257633,0,1,0,8.0,6,-53162,5437,58599,50,0,4,1,0.06666666666666667,0.12,0.0,0,0,1,0,0,0,2.25,0.0,0.0,0.0,90.0,6.0,50.0,20572.0,39986.0
1398,Aaron Cresswell,West Ham,1.7,0,0,16,0,1.5,457,0.0,0.0,0.0,0.0,47,1,0,2.9,27.0,2022-08-31T18:45:00Z,71,18,0,0,0,0,5,0,239899,0,1,1,0.0,2,-21500,5184,26684,49,0,5,0,0.028169014084507043,0.04081632653061224,0.0,0,1,1,0,0,0,2.2,6.0,0.0,0.0,90.0,26.0,50.0,5437.0,58599.0
1927,Aaron Cresswell,West Ham,2.5,0,0,13,0,31.8,457,0.0,0.0,0.0,0.0,75,1,0,5.3,11.0,2022-09-18T13:15:00Z,90,8,0,0,0,0,8,0,193179,0,0,1,10.0,2,6734,17465,10731,48,0,8,1,0.022222222222222223,0.041666666666666664,0.0,0,0,1,0,0,0,2.4,2.0,0.0,0.0,71.0,16.0,49.0,5184.0,26684.0
2207,Aaron Cresswell,West Ham,3.5,0,0,21,1,12.1,457,0.0,0.0,0.0,0.0,90,0,0,2.8,15.8,2022-10-01T16:30:00Z,90,20,0,0,0,0,9,0,208118,0,0,2,0.0,5,17709,30963,13254,48,1,9,1,0.05555555555555555,0.10416666666666667,0.0,0,1,1,0,0,0,3.0,2.0,0.0,0.0,90.0,13.0,48.0,17465.0,10731.0
2508,Aaron Cresswell,West Ham,3.0,0,0,20,0,42.8,457,0.0,0.0,0.0,0.0,100,1,0,6.9,24.2,2022-10-09T13:00:00Z,90,9,0,0,0,0,10,0,250600,0,1,3,2.0,2,39911,49989,10078,48,0,10,1,0.022222222222222223,0.041666666666666664,0.0,0,1,1,0,0,0,3.4,5.0,0.0,0.0,90.0,21.0,48.0,30963.0,13254.0
2807,Aaron Cresswell,West Ham,3.0,0,1,19,0,47.9,457,0.0,0.0,0.0,0.0,108,1,0,7.1,21.0,2022-10-16T13:00:00Z,90,17,0,0,0,0,11,0,267408,0,1,1,2.0,3,16237,27263,11026,48,0,11,1,0.03333333333333333,0.0625,0.0,0,0,1,0,0,0,2.8,2.0,0.0,0.0,90.0,20.0,48.0,49989.0,10078.0
3082,Aaron Cresswell,West Ham,0.0,0,0,23,0,30.9,457,0.0,0.0,0.0,0.0,118,1,0,5.8,27.2,2022-10-19T18:30:00Z,90,12,0,0,0,0,12,0,248750,0,0,1,0.0,2,-7893,8141,16034,48,0,12,0,0.022222222222222223,0.041666666666666664,0.0,0,0,1,0,0,0,2.8,3.0,0.0,0.0,90.0,19.0,48.0,27263.0,11026.0
3365,Aaron Cresswell,West Ham,4.5,0,2,33,1,59.6,457,0.0,0.0,0.0,0.0,129,0,0,10.5,28.0,2022-10-24T19:00:00Z,90,3,0,0,0,0,13,0,278345,0,0,2,17.0,8,17288,29127,11839,48,0,13,0,0.08888888888888889,0.16666666666666666,0.0,0,1,1,0,0,0,4.0,2.0,0.0,0.0,90.0,23.0,48.0,8141.0,16034.0
3664,Aaron Cresswell,West Ham,3.7,0,0,15,0,16.5,457,0.0,0.0,0.0,0.0,139,1,0,3.4,15.4,2022-10-30T16:15:00Z,90,14,0,0,0,0,14,0,273592,0,0,1,2.0,2,-5129,13737,18866,48,0,14,1,0.022222222222222223,0.041666666666666664,0.0,0,0,1,0,0,0,3.4,8.0,0.0,0.0,90.0,33.0,48.0,29127.0,11839.0
3961,Aaron Cresswell,West Ham,3.2,0,0,12,0,15.0,457,0.0,0.0,0.0,0.0,149,2,0,2.4,9.0,2022-11-06T14:00:00Z,90,7,0,0,0,0,15,0,298991,0,2,1,0.0,1,22193,33820,11627,48,0,15,1,0.011111111111111112,0.020833333333333332,0.0,0,1,1,0,0,0,3.2,2.0,0.0,0.0,90.0,15.0,48.0,13737.0,18866.0
4253,Aaron Cresswell,West Ham,3.0,0,0,19,0,59.3,457,0.20854,0.20854,0.0,1.776,159,2,0,8.0,20.6,2022-11-12T15:00:00Z,90,10,0,0,0,0,16,0,287394,1,2,0,0.0,1,-10899,10497,21396,48,0,16,1,0.011111111111111112,0.020833333333333332,0.0,0,1,1,0,0,0,2.8,1.0,0.0,0.0,90.0,12.0,48.0,33820.0,11627.0
4556,Aaron Cresswell,West Ham,0.2,0,0,7,0,4.8,457,0.00897,0.00897,0.0,2.1036,161,3,0,1.5,9.8,2022-12-26T20:00:00Z,90,1,0,0,0,0,17,0,177374,1,1,3,0.0,1,-110458,11886,122344,48,0,17,0,0.011111111111111112,0.020833333333333332,0.0,0,0,1,0,0,0,2.6,1.0,0.0,0.0,90.0,19.0,48.0,10497.0,21396.0
4850,Aaron Cresswell,West Ham,1.0,0,0,17,0,16.6,457,0.06226,0.09276,0.0305,1.6274,179,2,0,3.5,17.4,2022-12-30T19:45:00Z,90,4,0,0,0,0,18,0,187107,1,2,0,1.0,1,8454,15630,7176,48,0,18,0,0.011111111111111112,0.020833333333333332,0.0,0,1,1,0,0,0,1.2,1.0,0.0,0.0,90.0,7.0,48.0,11886.0,122344.0
5182,Aaron Cresswell,West Ham,1.0,0,0,3,0,0.6,457,0.00336,0.00336,0.0,0.6746,187,1,0,0.3,2.6,2023-01-04T19:45:00Z,22,11,0,0,0,0,19,0,184702,0,2,2,0.0,1,-2685,5862,8547,48,0,19,0,0.045454545454545456,0.020833333333333332,0.0,0,0,1,0,0,0,1.0,1.0,0.0,0.0,90.0,17.0,48.0,15630.0,7176.0
5534,Aaron Cresswell,West Ham,1.2,0,0,15,0,10.4,457,0.09947,0.13227,0.0328,0.8366,200,1,0,3.2,16.2,2023-01-14T15:00:00Z,90,20,0,0,0,0,20,0,177421,1,0,1,5.0,2,-7347,4256,11603,48,0,20,1,0.022222222222222223,0.041666666666666664,0.0,0,0,1,0,0,0,1.2,1.0,0.0,0.0,22.0,3.0,48.0,5862.0,8547.0
7109,Aaron Cresswell,West Ham,0.2,0,0,4,0,15.9,457,0.13,0.13,0.0,0.31,250,0,0,2.3,6.6,2023-02-25T15:00:00Z,45,16,0,0,0,0,25,0,160381,0,0,4,0.0,1,2354,7516,5162,47,0,25,0,0.022222222222222223,0.02127659574468085,0.0,0,1,1,0,0,0,1.2,2.0,0.0,0.0,90.0,15.0,48.0,4256.0,11603.0
8396,Aaron Cresswell,West Ham,0.6,0,0,3,0,0.0,457,0.0,0.0,0.0,0.0,290,0,0,0.1,1.0,2023-04-02T13:00:00Z,2,17,0,0,0,0,29,0,149469,0,0,1,0.0,1,3676,6024,2348,47,0,29,0,0.5,0.02127659574468085,0.0,0,1,1,0,0,0,1.2,1.0,0.0,0.0,45.0,4.0,47.0,7516.0,5162.0
8749,Aaron Cresswell,West Ham,3.0,0,2,27,1,33.2,457,0.13,0.13,0.0,0.68,293,0,0,5.8,22.6,2023-04-08T14:00:00Z,90,9,0,0,0,0,30,0,146572,1,1,0,2.0,8,-2039,980,3019,47,0,30,0,0.08888888888888889,0.1702127659574468,0.0,0,0,1,0,0,0,2.6,1.0,0.0,0.0,2.0,3.0,47.0,6024.0,2348.0
9038,Aaron Cresswell,West Ham,1.7,0,0,7,0,39.1,457,0.08,0.12,0.04,2.82,309,2,0,6.2,13.6,2023-04-16T13:00:00Z,90,1,0,0,0,0,31,0,148074,1,2,2,9.0,0,1240,2852,1612,47,1,31,0,0.0,0.0,0.0,0,1,1,0,0,0,2.4,8.0,0.0,0.0,90.0,27.0,47.0,980.0,3019.0
9302,Aaron Cresswell,West Ham,4.7,1,3,37,1,26.9,457,0.26,0.3,0.04,1.14,312,0,0,5.5,23.6,2023-04-23T13:00:00Z,90,3,0,0,0,0,32,0,161445,1,4,0,4.0,12,8222,9907,1685,47,0,32,0,0.13333333333333333,0.2553191489361702,0.0,1,0,1,0,0,0,4.4,0.0,0.0,0.0,90.0,7.0,47.0,2852.0,1612.0
9586,Aaron Cresswell,West Ham,3.2,0,0,11,0,19.3,457,0.08,0.08,0.0,2.0,326,2,0,2.8,8.4,2023-04-26T18:45:00Z,90,12,0,0,0,0,33,0,172331,1,2,1,0.0,1,15557,20119,4562,47,0,33,1,0.011111111111111112,0.02127659574468085,0.0,0,1,1,0,0,0,4.4,12.0,0.0,1.0,90.0,37.0,47.0,9907.0,1685.0
9946,Aaron Cresswell,West Ham,5.6,0,0,6,0,1.1,457,0.0,0.0,0.0,1.09,335,1,0,1.4,12.6,2023-04-29T11:30:00Z,45,7,0,0,0,0,34,0,191554,0,3,4,0.0,1,13195,18186,4991,47,0,34,0,0.022222222222222223,0.02127659574468085,0.0,0,0,1,0,0,0,4.4,1.0,0.0,0.0,90.0,11.0,47.0,20119.0,4562.0
9947,Aaron Cresswell,West Ham,5.6,0,0,14,0,2.8,457,0.01,0.01,0.0,2.32,277,3,0,1.0,6.8,2023-05-03T19:00:00Z,90,13,0,0,0,0,34,0,191554,1,0,3,0.0,1,13195,18186,4991,47,0,34,0,0.011111111111111112,0.02127659574468085,0.0,0,0,1,0,0,0,3.0,1.0,0.0,0.0,45.0,6.0,47.0,18186.0,4991.0
10273,Aaron Cresswell,West Ham,3.5,0,0,25,1,15.7,457,0.01,0.01,0.0,1.19,349,0,0,2.6,10.6,2023-05-07T18:00:00Z,90,14,0,0,0,0,35,0,178596,1,0,1,0.0,6,-7078,2068,9146,47,0,35,1,0.06666666666666667,0.1276595744680851,0.0,0,1,1,0,0,0,4.2,1.0,0.0,0.0,90.0,14.0,47.0,18186.0,4991.0
11262,Aaron Cresswell,West Ham,1.5,0,0,10,0,0.0,457,0.01,0.01,0.0,1.39,378,2,0,0.0,0.0,2023-05-28T15:30:00Z,70,10,0,0,0,0,38,0,176161,1,1,2,0.0,1,-1026,2656,3682,47,0,38,0,0.014285714285714285,0.02127659574468085,0.0,0,0,1,0,0,0,2.0,6.0,0.0,0.0,90.0,25.0,47.0,2068.0,9146.0
78,Aaron Hickey,Brentford,2.3,0,0,8,0,2.2,510,0.0,0.0,0.0,0.0,6,2,0,0.4,1.8,2022-08-07T13:00:00Z,83,10,0,0,0,0,1,0,25558,0,2,2,0.0,1,0,0,0,50,0,1,0,0.012048192771084338,0.02,0.0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,Aaron Hickey,Brentford,3.0,0,0,19,1,2.2,510,0.0,0.0,0.0,0.0,13,0,0,3.2,8.8,2022-08-13T16:30:00Z,79,14,0,0,0,0,2,0,27731,0,0,4,21.0,6,-1498,1542,3040,50,0,2,1,0.0759493670886076,0.12,0.0,0,1,1,0,0,0,3.5,1.0,0.0,0.0,83.0,8.0,50.0,0.0,0.0
671,Aaron Hickey,Brentford,2.8,0,0,3,0,0.3,510,0.0,0.0,0.0,0.0,24,2,0,0.2,2.0,2022-08-20T14:00:00Z,59,9,0,0,0,0,3,0,42584,0,2,3,0.0,0,7965,11646,3681,50,0,3,1,0.0,0.0,0.0,0,0,1,0,0,0,2.3333333333333335,6.0,0.0,0.0,79.0,19.0,50.0,1542.0,3040.0
968,Aaron Hickey,Brentford,2.0,0,0,10,0,13.9,510,0.0,0.0,0.0,0.0,33,1,0,4.5,12.6,2022-08-27T14:00:00Z,90,8,0,0,0,0,4,0,41617,0,1,1,18.0,1,-3004,4576,7580,50,1,4,0,0.011111111111111112,0.02,0.0,0,1,1,0,0,0,2.0,0.0,0.0,0.0,59.0,3.0,50.0,11646.0,3681.0
1259,Aaron Hickey,Brentford,1.8,0,0,17,0,1.4,510,0.0,0.0,0.0,0.0,43,1,0,2.4,22.8,2022-08-30T18:30:00Z,78,7,0,0,0,0,5,0,40191,0,1,1,0.0,1,-2891,2598,5489,50,1,5,1,0.01282051282051282,0.02,0.0,0,0,1,0,0,0,1.8,1.0,0.0,0.0,90.0,10.0,50.0,4576.0,7580.0
1554,Aaron Hickey,Brentford,2.1,0,0,7,0,4.4,510,0.0,0.0,0.0,0.0,52,2,0,2.2,17.2,2022-09-03T14:00:00Z,90,11,0,0,0,0,6,0,40259,0,2,5,0.0,0,-1594,3496,5090,50,1,6,0,0.0,0.0,0.0,0,1,1,0,0,0,1.6,1.0,0.0,0.0,78.0,17.0,50.0,2598.0,5489.0
1823,Aaron Hickey,Brentford,0.3,0,0,14,0,2.5,510,0.0,0.0,0.0,0.0,72,3,0,2.0,17.6,2022-09-18T11:00:00Z,90,1,0,0,0,0,8,0,41394,0,3,0,0.0,1,-374,1645,2019,50,0,8,1,0.011111111111111112,0.02,0.0,0,1,1,0,0,0,0.6,0.0,0.0,0.0,90.0,7.0,50.0,3496.0,5090.0
2053,Aaron Hickey,Brentford,1.0,0,0,-2,0,1.5,510,0.0,0.0,0.0,0.0,82,0,0,0.3,1.8,2022-10-01T14:00:00Z,29,3,0,0,0,0,9,0,44216,0,0,0,0.0,0,2031,5196,3165,50,1,9,1,0.0,0.0,0.0,0,0,1,0,0,0,0.6,1.0,0.0,0.0,90.0,14.0,50.0,1645.0,2019.0
2356,Aaron Hickey,Brentford,1.3,1,0,14,0,1.6,510,0.0,0.0,0.0,0.0,98,4,0,2.2,14.2,2022-10-08T14:00:00Z,82,15,0,0,0,0,10,0,41162,0,1,5,6.0,3,-2959,1819,4778,50,0,10,0,0.036585365853658534,0.06,0.0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,29.0,-2.0,50.0,5196.0,3165.0
5974,Aaron Hickey,Brentford,2.0,0,0,19,1,1.5,510,0.01,0.04,0.03,0.25,212,0,0,1.1,2.6,2023-02-04T15:00:00Z,60,17,0,0,0,0,22,0,24028,1,0,3,7.0,6,433,774,341,49,0,22,0,0.1,0.12244897959183673,0.0,0,1,1,0,0,0,2.0,3.0,0.0,1.0,82.0,14.0,50.0,1819.0,4778.0
6635,Aaron Hickey,Brentford,2.7,0,0,13,0,1.8,510,0.01,0.04,0.03,0.96,232,1,0,2.8,9.0,2023-02-18T15:00:00Z,75,7,0,0,0,0,24,0,25150,1,1,1,17.0,2,251,654,403,49,0,24,1,0.02666666666666667,0.04081632653061224,0.0,0,1,1,0,0,0,2.4,6.0,0.0,0.0,60.0,19.0,49.0,774.0,341.0
7239,Aaron Hickey,Brentford,2.3,1,0,18,0,1.1,510,0.01,0.02,0.02,1.21,253,1,0,1.5,10.4,2023-03-06T20:00:00Z,90,9,0,0,0,0,26,0,26512,1,2,3,3.0,5,1110,1638,528,49,0,26,0,0.05555555555555555,0.10204081632653061,0.0,1,1,1,0,0,0,3.2,2.0,0.0,0.0,75.0,13.0,49.0,654.0,403.0
7557,Aaron Hickey,Brentford,7.5,0,0,16,0,16.0,510,0.19,0.19,0.0,1.0,263,1,0,3.6,14.2,2023-03-11T15:00:00Z,73,8,0,0,0,0,27,0,33361,1,0,1,6.0,2,6265,7237,972,49,0,27,0,0.0273972602739726,0.04081632653061224,0.0,0,0,1,0,0,0,3.6,5.0,0.0,1.0,90.0,18.0,49.0,1638.0,528.0
7558,Aaron Hickey,Brentford,7.5,0,0,15,1,0.2,510,0.0,0.0,0.0,0.51,69,0,0,0.9,9.0,2023-03-15T19:30:00Z,90,17,0,0,0,0,27,0,33361,1,2,0,0.0,5,6265,7237,972,49,1,27,0,0.05555555555555555,0.10204081632653061,0.0,0,0,1,0,0,0,4.0,2.0,0.0,0.0,73.0,16.0,49.0,7237.0,972.0
7873,Aaron Hickey,Brentford,4.0,0,2,23,0,7.3,510,0.04,0.04,0.0,1.35,273,1,0,3.4,26.4,2023-03-18T15:00:00Z,90,10,0,0,0,0,28,0,38059,1,1,1,0.0,4,3293,4590,1297,49,0,28,0,0.044444444444444446,0.08163265306122448,0.0,0,1,1,0,0,0,3.6,5.0,0.0,0.0,90.0,15.0,49.0,7237.0,972.0
8148,Aaron Hickey,Brentford,4.8,0,0,0,0,0.1,510,0.0,0.0,0.0,4.45,283,3,0,0.0,0.0,2023-04-01T14:00:00Z,90,5,0,0,0,0,29,0,37876,1,3,3,0.0,0,994,3405,2411,49,1,29,0,0.0,0.0,0.0,0,0,1,0,0,0,3.2,4.0,0.0,0.0,90.0,23.0,49.0,4590.0,1297.0
8149,Aaron Hickey,Brentford,4.8,0,0,2,0,0.8,510,0.01,0.0,0.02,0.19,247,0,0,0.1,0.0,2023-04-05T19:00:00Z,15,14,0,0,0,0,29,0,37876,0,0,1,1.0,1,994,3405,2411,49,0,29,1,0.06666666666666667,0.02040816326530612,0.0,0,0,1,0,0,0,2.4,0.0,0.0,0.0,90.0,0.0,49.0,3405.0,2411.0
8588,Aaron Hickey,Brentford,1.7,0,0,11,0,0.5,510,0.0,0.0,0.0,0.8,292,2,0,0.3,2.4,2023-04-08T14:00:00Z,73,15,0,0,0,0,30,0,36871,1,2,1,0.0,1,-945,1118,2063,49,0,30,0,0.0136986301369863,0.02040816326530612,0.0,0,1,1,0,0,0,2.2,1.0,0.0,0.0,15.0,2.0,49.0,3405.0,2411.0
8887,Aaron Hickey,Brentford,0.8,0,0,9,0,1.5,510,0.0,0.0,0.0,0.66,310,2,0,0.8,4.2,2023-04-15T14:00:00Z,73,20,0,0,0,0,31,0,37138,1,0,2,2.0,1,139,1345,1206,49,0,31,1,0.0136986301369863,0.02040816326530612,0.0,0,0,1,0,0,0,1.4,1.0,0.0,0.0,73.0,11.0,49.0,1118.0,2063.0
9170,Aaron Hickey,Brentford,1.0,0,0,6,0,0.8,510,0.0,0.12,0.12,1.91,313,1,0,1.5,4.8,2023-04-22T14:00:00Z,90,2,0,0,0,0,32,0,38276,1,1,1,9.0,2,747,1786,1039,49,0,32,0,0.022222222222222223,0.04081632653061224,0.0,0,1,1,0,0,0,1.0,1.0,0.0,0.0,73.0,9.0,49.0,1345.0,1206.0
9429,Aaron Hickey,Brentford,1.0,0,0,3,0,0.0,510,0.0,0.0,0.0,0.16,328,0,0,0.0,0.0,2023-04-26T18:45:00Z,1,6,0,0,0,0,33,0,37436,0,2,0,0.0,1,-668,613,1281,49,0,33,0,1.0,0.02040816326530612,0.0,0,0,1,0,0,0,1.2,2.0,0.0,0.0,90.0,6.0,49.0,1786.0,1039.0
9748,Aaron Hickey,Brentford,1.3,0,0,14,0,11.3,510,0.07,0.09,0.02,0.75,333,1,0,2.3,8.8,2023-04-29T14:00:00Z,90,16,0,0,0,0,34,0,36589,1,1,2,3.0,2,-781,1014,1795,49,0,34,1,0.022222222222222223,0.04081632653061224,0.0,0,1,1,0,0,0,1.4,1.0,0.0,0.0,1.0,3.0,49.0,613.0,1281.0
10107,Aaron Hickey,Brentford,1.1,0,0,5,0,11.3,510,0.01,0.01,0.0,2.08,344,1,0,1.6,4.2,2023-05-06T16:30:00Z,87,12,0,0,0,0,35,0,36044,1,0,1,0.0,2,-846,647,1493,49,0,35,0,0.022988505747126436,0.04081632653061224,0.0,0,0,1,0,0,0,1.6,2.0,0.0,0.0,90.0,14.0,49.0,1014.0,1795.0
10426,Aaron Hickey,Brentford,0.0,0,0,23,1,21.9,510,0.03,0.1,0.07,0.22,353,0,0,3.7,10.2,2023-05-14T13:00:00Z,84,19,0,0,0,0,36,0,36009,1,0,2,5.0,5,-141,668,809,49,1,36,0,0.05952380952380952,0.10204081632653061,0.0,0,1,1,0,0,0,2.4,2.0,0.0,0.0,87.0,5.0,49.0,647.0,1493.0
10769,Aaron Hickey,Brentford,3.5,1,0,23,0,13.7,510,0.06,0.06,0.0,1.22,368,1,0,3.2,18.6,2023-05-20T11:30:00Z,88,18,0,0,0,0,37,0,36006,1,3,1,0.0,5,-63,783,846,49,0,37,0,0.056818181818181816,0.10204081632653061,0.0,1,0,1,0,0,0,3.0,5.0,0.0,0.0,84.0,23.0,49.0,668.0,809.0
11108,Aaron Hickey,Brentford,3.0,0,0,20,1,0.0,510,0.02,0.02,0.0,0.57,373,0,0,0.0,0.0,2023-05-28T15:30:00Z,69,13,0,0,0,0,38,0,39252,1,0,1,0.0,6,2653,3331,678,49,0,38,0,0.08695652173913043,0.12244897959183673,0.0,0,1,1,0,0,0,4.0,5.0,0.0,1.0,88.0,23.0,49.0,783.0,846.0
108,Aaron Ramsdale,Arsenal,3.6,0,0,25,1,0.0,15,0.0,0.0,0.0,0.0,1,0,0,1.9,19.0,2022-08-05T19:00:00Z,90,7,0,0,0,0,1,2,1128297,0,2,0,0.0,6,0,0,0,50,0,1,1,0.06666666666666667,0.12,0.0,0,0,0,0,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,Aaron Ramsdale,Arsenal,4.0,0,0,10,0,0.0,15,0.0,0.0,0.0,0.0,11,2,0,1.2,11.6,2022-08-13T14:00:00Z,90,10,0,0,0,0,2,1,1369348,0,2,4,0.0,1,31287,93632,62345,50,0,2,0,0.011111111111111112,0.02,0.0,0,1,0,0,1,0,3.5,6.0,0.0,0.0,90.0,25.0,50.0,0.0,0.0
702,Aaron Ramsdale,Arsenal,5.3,0,0,20,1,0.0,15,0.0,0.0,0.0,0.0,21,0,0,0.8,7.6,2022-08-20T16:30:00Z,90,3,0,0,0,0,3,1,1366505,0,3,0,0.0,6,-61359,88334,149693,50,0,3,1,0.06666666666666667,0.12,0.0,0,0,0,0,1,0,4.333333333333333,1.0,0.0,0.0,90.0,10.0,50.0,93632.0,62345.0
999,Aaron Ramsdale,Arsenal,4.8,0,0,12,0,0.0,15,0.0,0.0,0.0,0.0,31,1,0,1.9,18.8,2022-08-27T16:30:00Z,90,9,0,0,0,0,4,2,1422476,0,1,2,0.0,2,-12169,88190,100359,50,0,4,1,0.022222222222222223,0.04,0.0,0,1,0,0,1,0,3.75,6.0,0.0,0.0,90.0,20.0,50.0,88334.0,149693.0
1290,Aaron Ramsdale,Arsenal,3.9,0,0,13,0,0.0,15,0.0,0.0,0.0,0.0,41,1,0,1.7,17.4,2022-08-31T18:30:00Z,90,2,0,0,0,0,5,2,1407588,0,1,2,0.0,2,-53340,48276,101616,50,0,5,1,0.022222222222222223,0.04,0.0,0,1,0,0,1,0,3.4,2.0,0.0,0.0,90.0,12.0,50.0,88190.0,100359.0
1585,Aaron Ramsdale,Arsenal,2.0,0,0,14,0,0.0,15,0.0,0.0,0.0,0.0,56,3,0,2.5,25.2,2022-09-04T15:30:00Z,90,14,0,0,0,0,6,3,1164227,0,1,3,0.0,2,-250290,17642,267932,50,0,6,0,0.022222222222222223,0.04,0.0,0,0,0,0,1,0,2.6,2.0,0.0,0.0,90.0,13.0,50.0,48276.0,101616.0
1845,Aaron Ramsdale,Arsenal,3.5,0,0,24,1,0.0,15,0.0,0.0,0.0,0.0,72,0,0,1.8,17.8,2022-09-18T11:00:00Z,90,4,0,0,0,0,8,2,1117890,0,3,0,0.0,6,-33636,26476,60112,49,0,8,0,0.06666666666666667,0.12244897959183673,0.0,0,0,0,0,1,0,3.6,2.0,0.0,0.0,90.0,14.0,50.0,17642.0,267932.0
2084,Aaron Ramsdale,Arsenal,3.3,0,0,12,0,0.0,15,0.0,0.0,0.0,0.0,81,1,0,1.9,19.2,2022-10-01T11:30:00Z,90,18,0,0,0,0,9,2,1109375,0,1,3,0.0,2,-32360,39331,71691,49,0,9,0,0.022222222222222223,0.04081632653061224,0.0,0,1,0,0,1,0,2.8,6.0,0.0,0.0,90.0,24.0,49.0,26476.0,60112.0
2385,Aaron Ramsdale,Arsenal,2.5,0,0,15,0,0.0,15,0.0,0.0,0.0,0.0,91,2,0,1.3,12.6,2022-10-09T15:30:00Z,90,12,0,0,0,0,10,2,1098374,0,2,3,0.0,1,-21961,36722,58683,49,0,10,0,0.011111111111111112,0.02040816326530612,0.0,0,1,0,0,1,0,2.6,2.0,0.0,0.0,90.0,12.0,49.0,39331.0,71691.0
2682,Aaron Ramsdale,Arsenal,5.3,0,3,32,1,0.0,15,0.0,0.0,0.0,0.0,104,0,0,3.5,34.8,2022-10-16T13:00:00Z,90,11,0,0,0,0,11,4,1120191,0,1,0,0.0,10,10087,52485,42398,49,0,11,0,0.1111111111111111,0.20408163265306123,0.0,0,0,0,0,1,0,4.2,1.0,0.0,0.0,90.0,15.0,49.0,36722.0,58683.0
3246,Aaron Ramsdale,Arsenal,4.3,0,0,12,0,0.0,15,0.0,0.0,0.0,0.0,127,1,0,1.5,14.8,2022-10-23T13:00:00Z,90,17,0,0,0,0,13,2,1120866,0,1,1,0.0,2,17553,45235,27682,49,0,13,0,0.022222222222222223,0.04081632653061224,0.0,0,0,0,0,1,0,4.2,10.0,0.0,0.0,90.0,32.0,49.0,52485.0,42398.0
3543,Aaron Ramsdale,Arsenal,5.2,0,0,24,1,0.0,15,0.0,0.0,0.0,0.0,131,0,0,1.2,11.6,2022-10-30T14:00:00Z,90,16,0,0,0,0,14,2,1141584,0,0,5,0.0,6,14457,42052,27595,49,0,14,0,0.06666666666666667,0.12244897959183673,0.0,0,1,0,0,1,0,4.2,2.0,0.0,0.0,90.0,12.0,49.0,45235.0,27682.0
3839,Aaron Ramsdale,Arsenal,6.0,0,0,21,1,0.0,15,0.0,0.0,0.0,0.0,142,0,0,1.3,12.8,2022-11-06T12:00:00Z,90,6,0,0,0,0,15,1,1126726,0,1,0,0.0,6,-18372,20985,39357,49,0,15,1,0.06666666666666667,0.12244897959183673,0.0,0,0,0,0,1,0,5.0,6.0,0.0,0.0,90.0,24.0,49.0,42052.0,27595.0
4137,Aaron Ramsdale,Arsenal,6.5,0,0,24,1,0.0,15,0.00014,0.00014,0.0,0.4928,160,0,0,1.4,14.4,2022-11-12T19:45:00Z,90,20,0,0,0,0,16,2,1184091,1,2,0,0.0,6,46799,70419,23620,49,0,16,0,0.06666666666666667,0.12244897959183673,0.0,0,0,0,0,1,0,6.0,6.0,0.0,0.0,90.0,21.0,49.0,20985.0,39357.0
